book_id,author_id,title,genre,language,published_date,page_count,added_to_platform_at,is_available
B0001,A0028,The Lost Moon,History,Spanish,2022-10-09,276,2023-01-25,True
B0002,A0025,The Secret Star,Fiction,Spanish,2007-03-31,620,2023-01-09,True
B0003,A0027,The Lost Path,Fiction,English,2016-04-13,700,2024-12-04,False
B0004,A0016,The Silent Clock,History,German,2003-11-04,251,2024-02-07,True
B0005,A0017,The Last Shadow,Romance,Portuguese,2007-05-29,893,2021-06-26,True
B0006,A0010,The Eternal Garden,Fantasy,English,2009-01-08,649,2023-12-31,True
B0007,A0003,The Hidden Echo,Horror,Spanish,2011-02-13,722,2021-04-05,True
B0008,A0021,The Dark Path,Mystery,Portuguese,2003-03-09,458,2023-12-20,True
B0009,A0022,The Final Path,History,English,2010-09-04,704,2021-07-24,True
B0010,A0016,The Eternal Path,Mystery,English,2010-11-25,561,2024-05-25,True
B0011,A0028,The Dark Garden,Mystery,English,2018-06-10,865,2022-08-14,True
B0012,A0007,The Golden Promise,Self-Help,English,2004-11-25,307,2021-05-24,True
B0013,A0030,The Silent Dream,History,English,2011-03-16,787,2024-11-25,False
B0014,A0030,The Golden Mirror,Biography,English,2000-08-29,338,2020-07-10,True
B0015,A0013,The Dark Shadow,Thriller,Portuguese,2002-08-18,923,2020-12-03,True
B0016,A0024,The Secret Garden,Self-Help,English,2018-12-22,423,2023-11-27,True
B0017,A0024,The Secret Echo,Fantasy,English,2002-08-16,718,2023-04-01,True
B0018,A0002,The Secret Throne,Sci-Fi,English,2023-10-28,189,2024-01-16,True
B0019,A0004,The Last Path,Horror,Spanish,2010-07-20,754,2022-04-06,True
B0020,A0030,The Lost Path,Fantasy,English,2023-06-14,525,2024-05-02,True
B0021,A0011,The Silent Echo,Self-Help,Spanish,2013-06-16,696,2022-07-25,False
B0022,A0007,The Secret Storm,Sci-Fi,Portuguese,2003-04-15,190,2023-01-06,True
B0023,A0006,The Final Moon,History,French,2016-07-29,746,2021-08-06,False
B0024,A0022,The Secret Storm,Mystery,Portuguese,2023-09-23,257,2023-09-27,True
B0025,A0018,The Broken Storm,Thriller,Spanish,2004-10-19,854,2024-02-29,True
B0026,A0016,The Lost Star,Fiction,English,2011-11-04,553,2022-11-01,True
B0027,A0011,The Broken Garden,Thriller,English,2001-12-23,572,2020-01-08,True
B0028,A0001,The Silent Throne,Sci-Fi,Spanish,2019-03-09,498,2023-02-22,True
B0029,A0005,The Dark Storm,Fantasy,Japanese,2006-08-23,935,2022-05-30,False
B0030,A0007,The Golden Garden,Mystery,English,2001-10-15,693,2022-01-02,True
B0031,A0024,The Broken Star,Romance,Japanese,2018-03-25,939,2023-06-25,True
B0032,A0006,The Hidden Clock,Biography,German,2018-06-30,872,2020-02-20,True
B0033,A0026,The Silent Shadow,Fiction,Japanese,2011-12-20,347,2020-11-22,True
B0034,A0010,The Golden Path,Fiction,French,2020-08-24,528,2022-08-10,True
B0035,A0009,The Hidden Garden,History,English,2003-02-11,669,2024-05-02,True
B0036,A0029,The Lost Mirror,Horror,Italian,2001-03-28,391,2020-08-24,True
B0037,A0024,The Hidden Shadow,Horror,Italian,2019-06-29,238,2021-12-08,True
B0038,A0002,The Eternal Echo,History,Portuguese,2008-07-11,671,2021-06-05,True
B0039,A0014,The Silent Garden,Fantasy,Spanish,2008-11-02,799,2022-01-15,True
B0040,A0010,The Eternal Light,Biography,French,2013-06-21,687,2022-11-04,True
B0041,A0013,The Broken Key,Horror,English,2018-11-10,681,2023-09-23,True
B0042,A0007,The Eternal Clock,Horror,Spanish,2013-08-18,449,2021-08-10,True
B0043,A0007,The Secret Dream,Sci-Fi,French,2019-11-01,410,2023-10-15,True
B0044,A0027,The Golden Garden,Thriller,English,2015-01-13,323,2020-07-10,True
B0045,A0016,The Last Moon,Mystery,English,2002-01-27,764,2021-05-16,True
B0046,A0013,The Golden Mirror,Fiction,Japanese,2017-03-23,908,2022-10-09,True
B0047,A0006,The Secret Dream,Fiction,Spanish,2019-01-26,244,2021-03-24,True
B0048,A0017,The Secret Key,Fantasy,Portuguese,2020-11-03,573,2024-08-01,True
B0049,A0027,The Secret Dream,Sci-Fi,French,2022-08-23,606,2023-11-02,True
B0050,A0021,The Lost Clock,History,English,2011-02-02,364,2024-09-16,True
B0051,A0010,The Golden Storm,Fantasy,English,2003-06-23,673,2024-01-01,True
B0052,A0013,The Broken River,Romance,English,2006-10-07,537,2021-04-18,True
B0053,A0002,The Golden Moon,Biography,English,2020-11-24,908,2023-03-25,True
B0054,A0029,The Last Shadow,Self-Help,English,2000-11-16,480,2024-10-20,True
B0055,A0029,The Eternal Promise,History,German,2017-06-29,345,2024-10-13,True
B0056,A0016,The Dark Shadow,Fantasy,French,2012-03-29,937,2022-06-11,True
B0057,A0015,The Broken Key,History,English,2007-05-28,523,2024-09-17,True
B0058,A0021,The Eternal Mirror,Self-Help,English,2001-03-20,386,2020-06-20,True
B0059,A0011,The Hidden Clock,Biography,English,2009-06-29,551,2022-07-20,True
B0060,A0001,The Secret Echo,Fantasy,English,2003-09-03,190,2022-08-21,True
B0061,A0001,The Golden Path,Fiction,Spanish,2001-10-21,364,2024-03-24,True
B0062,A0007,The Final River,Thriller,German,2005-02-17,291,2023-03-01,True
B0063,A0027,The Broken Storm,Mystery,Spanish,2005-02-19,439,2024-05-11,True
B0064,A0023,The Golden Throne,Horror,French,2016-11-01,762,2022-03-23,True
B0065,A0022,The Last Clock,Mystery,German,2013-07-12,699,2024-10-07,True
B0066,A0014,The Hidden Throne,History,Spanish,2015-07-29,132,2022-12-27,True
B0067,A0014,The Hidden Garden,Self-Help,French,2021-12-27,565,2022-07-31,True
